dataset,llm,combo,quality_score,overall_mean,faithfulness_mean,correctness_mean,answer_relevance_mean,latency_mean_ms,std_across_configs,std_across_llms,num_llms,num_configs,num_config_rows,rank
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,87.89375,84.4125,84.375,82.25,96.375,1068.352075,3.962199318244856,0.0,1,4,8,1
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,86.9625,84.1125,81.625,82.625,95.25,1239.9515875,9.789814541144278,0.0,1,4,8,2
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,86.425,82.875,82.5,80.0,95.5,1098.3958499999999,4.1775441350152125,0.0,1,4,8,3
triviaqa,llama3.2:latest,bge-base__bge-reranker,85.225,80.4625,84.0625,78.3125,95.0625,1778.3567624999998,7.691147508662149,0.0,1,4,8,4
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,83.65625,78.25,80.875,75.0,98.5,1634.9772375,8.586597023122723,0.0,1,4,8,5
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,77.215625,68.1375,73.6875,63.625,96.8125,1684.990475,6.637711125408743,0.0,1,4,8,6
triviaqa,llama3:8b,multi-qa-mini__ms-marco-L6,92.26875,90.5375,89.875,88.75,97.5,1274.2889375,6.303914334562296,0.0,1,4,8,1
triviaqa,llama3:8b,multi-qa-mini__ms-marco-L12,91.21875,88.95,88.8125,87.5625,95.25,1282.1012,6.231970871040718,0.0,1,4,8,2
triviaqa,llama3:8b,bge-base__ms-marco-L6,86.05,81.2125,83.75,78.75,96.75,1903.1242375,7.882615365473567,0.0,1,4,8,3
triviaqa,llama3:8b,bge-base__bge-reranker,84.25625,78.625,81.125,76.25,99.25,2023.0383875,3.789412677117656,0.0,1,4,8,4
triviaqa,llama3:8b,multi-qa-mini__bge-reranker,81.925,78.8125,76.375,75.0,91.4375,1456.6760625,5.222906279074899,0.0,1,4,8,5
triviaqa,llama3:8b,bge-base__ms-marco-L12,77.771875,72.475,70.125,70.1875,98.375,1992.2470625,6.866215268208169,0.0,1,4,8,6
triviaqa,mistral:7b,multi-qa-mini__ms-marco-L6,91.175,89.1625,87.5,87.5,99.25,1143.3436,2.3263436977368586,0.0,1,4,8,1
triviaqa,mistral:7b,multi-qa-mini__bge-reranker,89.5625,84.45,88.75,82.5,98.75,1307.077725,8.25922779380736,0.0,1,4,8,2
triviaqa,mistral:7b,multi-qa-mini__ms-marco-L12,88.725,83.4875,86.75,81.25,99.25,1202.4915875,2.4686787964415275,0.0,1,4,8,3
triviaqa,mistral:7b,bge-base__bge-reranker,88.303125,83.875,90.6875,80.5,97.0,1830.218275,3.0938557431423654,0.0,1,4,8,4
triviaqa,mistral:7b,bge-base__ms-marco-L6,86.3,79.1875,87.5,76.25,97.875,1677.95845,3.264869828951837,0.0,1,4,8,5
triviaqa,mistral:7b,bge-base__ms-marco-L12,85.075,77.3125,85.25,74.0,96.25,1782.2134624999999,4.100533501875093,0.0,1,4,8,6
