dataset,llm,combo,config,is_combo_selection_config,quality_score,correctness_mean,faithfulness_mean,answer_relevance_mean,overall_mean,answer_accuracy,context_sufficiency_rate,generation_failure_rate,retrieval_failure_rate,latency_mean_ms
triviaqa,mistral:7b,bge-base__ms-marco-L12,no_rag,False,38.0,80.0,0.0,100.0,80.0,80.0,0.0,0.0,100.0,690.8842
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_k,False,58.5,40.0,70.0,100.0,48.5,40.0,50.0,10.0,50.0,18640.7308
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_k_grounded,False,63.0,40.0,80.0,90.0,49.0,40.0,50.0,20.0,50.0,18618.6276
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_k_rr,False,71.0,50.0,90.0,100.0,58.0,50.0,60.0,10.0,40.0,15288.1504
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_k_rr_grounded,False,79.0,50.0,90.0,100.0,59.0,50.0,100.0,50.0,0.0,15204.6322
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_s,False,68.0,60.0,60.0,100.0,66.0,60.0,80.0,20.0,20.0,1402.7711
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_s_grounded,False,85.5,70.0,100.0,100.0,74.0,70.0,80.0,10.0,20.0,1314.6351
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_s_rr,True,83.0,70.0,90.0,90.0,74.5,70.0,90.0,20.0,10.0,1430.673
triviaqa,mistral:7b,bge-base__ms-marco-L12,baseline_s_rr_grounded,True,89.5,80.0,90.0,100.0,83.2,80.0,100.0,20.0,0.0,1426.4476
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_k,False,55.0,40.0,60.0,100.0,43.5,40.0,50.0,10.0,50.0,33051.2574
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_k_grounded,False,100.0,100.0,100.0,100.0,100.0,100.0,40.0,0.0,60.0,32961.1158
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_k_rr,False,66.5,40.0,90.0,90.0,52.0,40.0,60.0,20.0,40.0,39680.3093
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_k_rr_grounded,False,93.0,90.0,90.0,100.0,92.0,90.0,60.0,10.0,40.0,39548.0139
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_s,False,79.0,70.0,70.0,100.0,71.5,70.0,100.0,30.0,0.0,2013.1496
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_s_grounded,False,86.0,70.0,90.0,100.0,75.8,70.0,100.0,30.0,0.0,2038.0811
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_s_rr,True,88.5,80.0,90.0,90.0,82.0,80.0,100.0,20.0,0.0,2175.4038
triviaqa,mistral:7b,bge-base__ms-marco-L12,optimized_s_rr_grounded,True,82.5,80.0,70.0,100.0,81.3,80.0,100.0,20.0,0.0,2100.244
triviaqa,mistral:7b,bge-base__ms-marco-L6,no_rag,False,34.5,70.0,0.0,100.0,72.5,70.0,0.0,0.0,100.0,422.9656
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_k,False,57.0,40.0,60.0,100.0,46.0,40.0,60.0,20.0,40.0,18639.7992
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_k_grounded,False,67.0,60.0,80.0,100.0,65.0,60.0,40.0,10.0,50.0,18619.7394
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_k_rr,False,74.3,60.0,82.0,92.0,66.8,60.0,80.0,20.0,20.0,15316.7064
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_k_rr_grounded,False,82.5,60.0,90.0,100.0,68.0,60.0,100.0,40.0,0.0,15143.7944
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_s,False,75.5,60.0,70.0,100.0,64.5,60.0,100.0,40.0,0.0,1401.6401
triviaqa,mistral:7b,bge-base__ms-marco-L6,baseline_s_grounded,False,85.5,70.0,100.0,100.0,74.0,70.0,80.0,10.0,20.0,1314.4852
