dataset,llm,combo,config,is_combo_selection_config,quality_score,correctness_mean,faithfulness_mean,answer_relevance_mean,overall_mean,answer_accuracy,context_sufficiency_rate,generation_failure_rate,retrieval_failure_rate,latency_mean_ms
triviaqa,llama3:8b,bge-base__ms-marco-L12,no_rag,False,34.5,70.0,0.0,100.0,69.8,70.0,0.0,0.0,100.0,820.1749
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_k,False,44.0,30.0,42.0,92.0,41.0,30.0,40.0,10.0,40.0,18837.3207
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_k_grounded,False,82.2,70.0,80.0,97.0,73.5,70.0,100.0,30.0,0.0,18822.1839
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_k_rr,False,77.65,60.0,99.0,100.0,65.6,60.0,60.0,0.0,40.0,15538.1604
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_k_rr_grounded,False,79.0,50.0,90.0,100.0,59.0,50.0,60.0,10.0,40.0,15443.5387
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_s,False,68.5,50.0,60.0,100.0,56.0,50.0,100.0,50.0,0.0,1600.8528
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_s_grounded,False,79.9,60.0,94.0,100.0,66.8,60.0,80.0,20.0,20.0,1622.8378
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_s_rr,True,75.2,70.0,62.0,92.0,71.0,70.0,100.0,30.0,0.0,1643.3058
triviaqa,llama3:8b,bge-base__ms-marco-L12,baseline_s_rr_grounded,True,86.475,81.5,91.0,97.0,83.8,80.0,80.0,0.0,20.0,1643.5931
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_k,False,65.0,50.0,80.0,95.0,57.5,50.0,50.0,0.0,40.0,33339.8142
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_k_grounded,False,67.0,40.0,100.0,100.0,52.0,40.0,40.0,0.0,60.0,32991.4436
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_k_rr,False,76.5,50.0,100.0,100.0,58.5,50.0,70.0,20.0,30.0,39824.5792
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_k_rr_grounded,False,74.5,60.0,90.0,100.0,64.4,60.0,60.0,10.0,40.0,39685.6329
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_s,False,58.0,70.0,10.0,100.0,68.0,70.0,100.0,30.0,0.0,2107.3117
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_s_grounded,False,93.0,90.0,90.0,100.0,87.9,90.0,100.0,10.0,0.0,2368.0154
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_s_rr,True,77.6,70.0,66.0,100.0,70.7,70.0,100.0,30.0,0.0,2192.5029
triviaqa,llama3:8b,bge-base__ms-marco-L12,optimized_s_rr_grounded,True,68.3,60.0,50.0,98.0,59.5,60.0,100.0,40.0,0.0,2495.4462
triviaqa,llama3:8b,bge-base__ms-marco-L6,no_rag,False,34.5,70.0,0.0,100.0,69.0,70.0,0.0,0.0,100.0,368.3555
triviaqa,llama3:8b,bge-base__ms-marco-L6,baseline_k,False,51.0,30.0,30.0,100.0,39.0,30.0,100.0,70.0,0.0,18838.5023
