dataset,llm,combo,config,is_combo_selection_config,quality_score,correctness_mean,faithfulness_mean,answer_relevance_mean,overall_mean,answer_accuracy,context_sufficiency_rate,generation_failure_rate,retrieval_failure_rate,latency_mean_ms
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,no_rag,False,31.0,60.0,0.0,100.0,55.0,60.0,0.0,0.0,100.0,587.1722
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k,False,95.275,100.0,88.5,97.0,96.3,100.0,100.0,0.0,0.0,18755.7304
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_grounded,False,64.0,20.0,80.0,90.0,81.5,20.0,100.0,80.0,0.0,18611.4344
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_rr,False,54.400000000000006,50.0,40.0,87.0,51.5,50.0,80.0,40.0,20.0,15286.7884
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_rr_grounded,False,93.0,90.0,90.0,100.0,91.0,90.0,100.0,10.0,0.0,15153.4191
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s,False,79.0,60.0,80.0,100.0,67.0,60.0,100.0,40.0,0.0,1329.3341
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_grounded,False,82.0,70.0,90.0,100.0,72.5,70.0,80.0,20.0,20.0,1319.3543
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_rr,True,73.3,60.0,70.0,98.0,64.5,60.0,90.0,30.0,0.0,1311.7572
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_rr_grounded,True,86.0,70.0,90.0,100.0,76.0,70.0,100.0,30.0,0.0,1273.1982
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k,False,60.5,30.0,80.0,100.0,40.5,30.0,60.0,30.0,40.0,33029.3246
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_grounded,False,68.8,50.0,90.0,98.0,59.5,50.0,50.0,0.0,50.0,32923.2824
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_rr,False,57.5,30.0,60.0,100.0,38.0,30.0,80.0,50.0,20.0,39585.6795
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_rr_grounded,False,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,39879.9986
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s,False,72.275,60.0,71.5,78.5,68.5,60.0,90.0,30.0,10.0,1942.189
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_grounded,False,81.75,71.0,80.0,89.0,73.0,70.0,100.0,30.0,0.0,1928.1317
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_rr,True,72.0,60.0,60.0,100.0,62.8,60.0,100.0,40.0,0.0,2010.5159
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_rr_grounded,True,79.0,60.0,80.0,100.0,67.5,60.0,100.0,40.0,0.0,2138.0799
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,no_rag,False,34.5,70.0,0.0,100.0,42.0,70.0,0.0,0.0,100.0,296.7015
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k,False,69.6,60.0,76.0,100.0,57.5,60.0,60.0,30.0,40.0,18747.9931
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_grounded,False,73.0,80.0,80.0,90.0,79.5,80.0,40.0,20.0,60.0,18604.772
